verticies,x,y,z
v, 0.573078, 2.667570, -0.268836
v, 0.498369, 2.624835, -0.250611
v, 0.393385, 1.758500, -0.200848
v, 0.486516, 1.683536, -0.206733
v, 0.414088, 1.692409, -0.300453
v, 0.066891, 1.977684, -0.163601
v, 0.082080, 2.001977, -0.158016
v, 0.040656, 2.040320, -0.196425
v, 0.301498, 1.731993, 0.316265
v, 0.336567, 1.768400, 0.241841
v, 0.288118, 1.792520, 0.279544
v, -0.031872, 1.794754, -0.090404
v, -0.026815, 1.754309, -0.085764
v, 0.063319, 1.842278, -0.000685
v, 0.024329, 1.809512, -0.039402
v, 0.046635, 1.810974, 0.014514
v, 0.288828, 3.093921, -0.233797
v, 0.292043, 3.154552, -0.269587
v, 0.504893, 1.684825, -0.087385
v, 0.533532, 1.650267, -0.124681
v, -0.264747, 1.666602, -0.412778
v, 0.146898, 1.746405, -0.412349
v, 0.086156, 1.688785, -0.482437
v, 1.105427, 2.277184, -2.005978
v, 1.082530, 2.292384, -1.962265
v, 1.116714, 2.248885, -1.964224
v, 0.064158, 2.706846, -0.235457
v, 0.108740, 2.652071, -0.199907
v, 0.105300, 2.708083, -0.203287
v, 0.004228, 2.834512, -0.830956
v, -0.017746, 2.837201, -0.876456
v, 0.019115, 2.872516, -0.870976
v, 0.289930, 2.228081, -0.288300
v, 0.345138, 2.192469, -0.253510
v, 0.304204, 2.190074, -0.279677
v, -0.102713, 2.771495, -0.754753
v, -0.079305, 2.820516, -0.775946
v, -0.116102, 2.806349, -0.845142
v, 0.979075, 4.371427, -1.069847
v, 1.039884, 4.360677, -1.060445
v, 1.012071, 4.323390, -1.108535
v, 1.055140, 4.087234, -1.198274
v, 1.047998, 4.136798, -1.202666
v, 1.076929, 4.148845, -1.200444
v, 1.097051, 4.066963, -1.242432
v, 1.051421, 4.030555, -1.222119
v, 1.097678, 4.017428, -1.257210
v, 1.032308, 4.112863, -1.187200
v, 0.811705, 3.918752, -0.613302
v, 0.855797, 3.945391, -0.615735
v, 0.909144, 3.915604, -0.666120
v, 1.609217, 4.244689, -1.120891
v, 1.595550, 4.247226, -1.160796
v, 1.621033, 4.282282, -1.092521
v, 1.214991, 3.439698, -0.603317
v, 1.179727, 3.447782, -0.574439
v, 1.210287, 3.459044, -0.546412
v, 1.033110, 3.771942, -1.070215
v, 1.049537, 3.733754, -1.060461
v, 1.021048, 3.731524, -1.040077
v, 0.246037, 3.775907, -0.203713
v, 0.249783, 3.732387, -0.203378
v, 0.209495, 3.762532, -0.240471
v, 0.749168, 3.688207, -0.624252
v, 0.705418, 3.682009, -0.629499
v, 0.736280, 3.708393, -0.618161
v, 0.642580, 3.462688, -0.471528
v, 0.622007, 3.452210, -0.443081
v, 0.610184, 3.395419, -0.469359
v, 0.823293, 3.185732, -0.550476
v, 0.876578, 3.215610, -0.543863
v, 0.842123, 3.185295, -0.526662
v, 0.560745, 3.560501, -0.483826
v, 0.579152, 3.576298, -0.518521
v, 0.550044, 3.528393, -0.515099
v, 0.777667, 3.865800, -0.681140
v, 0.768722, 3.882902, -0.615134
v, 1.205363, 3.730882, -0.929229
v, 1.273860, 3.772117, -0.916904
v, 1.231400, 3.772420, -0.871835
v, 1.194926, 3.715413, -0.877798
v, 1.175973, 3.754926, -0.830035
v, 1.157966, 3.708673, -0.816287
v, 1.418204, 4.383010, -1.024084
v, 1.366641, 4.380502, -1.014286
v, 1.409772, 4.336777, -0.987600
v, 1.032773, 4.079597, -0.664364
v, 1.081994, 4.116643, -0.641968
v, 1.064002, 4.102171, -0.699175
v, 1.570881, 4.348620, -0.884388
v, 1.526510, 4.371906, -0.884530
v, 1.515916, 4.390641, -0.821778
v, 1.291665, 3.755754, 0.129707
v, 1.334729, 3.819684, 0.207605
v, 1.336773, 3.715041, 0.180073
v, 1.315048, 3.708101, 0.110653
v, 1.290320, 3.705929, 0.107639
v, 1.491778, 3.933898, -0.818406
v, 1.463701, 3.875870, -0.888071
v, 1.522010, 3.927552, -0.872651
v, 1.464300, 3.938685, -0.794529
v, 1.477255, 3.979163, -0.804780
v, 1.317855, 4.128675, 0.905520
v, 1.282416, 4.093028, 0.879436
v, 1.240399, 4.159477, 0.926546
v, 0.678486, 3.668304, -0.554219
v, 0.652095, 3.641479, -0.565080
v, 0.700908, 3.656556, -0.588003
v, 0.679240, 4.326289, -0.175870
v, 0.733525, 4.354665, -0.214832
v, 0.718522, 4.317441, -0.174044
v, 0.092853, 4.052541, 0.180865
v, 0.030554, 4.063167, 0.135327
v, 0.100192, 4.131131, 0.182097
v, 0.582631, 3.888341, 0.047008
v, 0.497556, 3.903751, 0.077431
v, 0.575364, 3.832711, 0.052773
v, 0.045518, 3.958692, -0.107287
v, -0.223924, 3.578535, 0.297776
v, -0.183442, 3.564606, 0.338215
v, -0.203396, 3.546570, 0.281527
v, 0.002501, 3.105964, 0.131349
v, 0.062966, 3.119226, 0.174224
v, 0.060586, 3.084476, 0.156920
v, -0.137071, 3.617345, 0.171735
v, -0.123653, 3.586851, 0.196084
v, -0.129016, 3.600053, 0.240932
v, -0.127169, 3.759681, 0.350573
v, -0.115666, 3.756495, 0.327528
v, -0.106619, 3.709604, 0.362423
v, -0.084170, 4.368332, 0.363752
v, -0.075997, 4.374572, 0.339074
v, -0.109932, 4.389713, 0.309607
v, 0.002693, 3.936675, 0.372097
v, 0.061644, 3.964846, 0.347731
v, -0.029031, 4.089298, 0.397605
v, 0.735868, 4.033922, 1.175766
v, 0.740343, 4.073408, 1.229424
v, 0.707845, 4.059373, 1.203848
v, 0.838258, 4.115541, 1.086852
v, 0.897492, 4.103014, 1.106228
v, 0.830505, 4.065766, 1.042237
v, -0.058624, 3.927047, 0.437625
v, -0.084547, 3.969752, 0.474142
v, -0.070885, 3.930539, 0.477608
v, 0.685503, 4.097646, 1.047711
v, 0.719440, 4.106318, 1.050617
v, 0.694657, 4.101112, 1.017299
v, 0.320020, 3.623854, 0.753729
v, 0.238167, 3.553638, 0.741884
v, 0.246526, 3.582267, 0.784412
v, 0.581338, 3.790814, 0.762056
v, 0.591208, 3.735071, 0.767714
v, 0.531606, 3.759784, 0.714156
v, 0.365337, 3.685189, 0.766671
v, 0.374738, 3.723560, 0.800178
v, 0.407521, 3.714365, 0.732783
v, 0.864754, 3.736658, 0.894049
v, 0.896321, 3.792719, 0.908190
v, 0.921531, 3.763974, 0.918928
v, 0.575155, 3.506362, 0.728190
v, 0.555757, 3.472547, 0.721770
v, 0.553186, 3.483907, 0.700538
v, 0.442076, 3.690214, 0.664834
v, 0.425159, 3.702244, 0.703650
v, 0.469489, 3.740667, 0.702158
v, 0.626091, 4.104741, -0.068654
v, 0.658527, 4.148805, -0.086863
v, 0.636746, 4.114974, -0.042273
v, 1.067171, 3.714655, 1.189924
v, 1.021977, 3.729273, 1.189894
v, 1.037187, 3.728322, 1.159647
v, 1.161406, 4.227201, 0.796874
v, 1.201875, 4.237976, 0.761487
v, 1.160610, 4.254388, 0.752230
v, 1.246964, 4.260282, 1.075113
v, 1.285358, 4.255355, 1.049044
v, 1.272526, 4.207044, 0.999557
v, -0.368851, 4.664806, 0.938213
v, -0.323075, 4.656442, 0.929996
v, -0.334107, 4.680032, 0.883425
v, 0.919798, 4.334101, 1.168994
v, 0.949932, 4.315369, 1.184245
v, 0.966956, 4.311565, 1.137285
v, 1.165088, 4.138762, 1.374071
v, 1.135957, 4.160710, 1.371897
