what,x,y,z
v,-0.1489,-0.205669,-0.454522
v,-0.149407,-0.202253,-0.457567
v,-0.197084,-0.210778,-0.486206
v,-0.196591,-0.213299,-0.488596
v,-0.201163,-0.213848,-0.487612
v,-0.17954,-0.213059,-0.473903
v,-0.185095,-0.211567,-0.473948
v,-0.18594,-0.208686,-0.474441
v,-0.135193,-0.211333,-0.44302
v,-0.135305,-0.205878,-0.445213
v,-0.131922,-0.208558,-0.44584
v,-0.161181,-0.221595,-0.466186
v,-0.157839,-0.225239,-0.466434
v,-0.161015,-0.219528,-0.468571
v,-0.130595,-0.165497,-0.470005
v,-0.133524,-0.170497,-0.466556
v,-0.133274,-0.165097,-0.470134
v,-0.150354,-0.194053,-0.46666
v,-0.147793,-0.197458,-0.464152
v,-0.147971,-0.20142,-0.464317
v,-0.150837,-0.176347,-0.464579
v,-0.151079,-0.183238,-0.459059
v,-0.150937,-0.181719,-0.466433
v,-0.165961,-0.149698,-0.482294
v,-0.167611,-0.149971,-0.478964
v,-0.167815,-0.14585,-0.482787
v,-0.19312,-0.093774,-0.473613
v,-0.187947,-0.091989,-0.475617
v,-0.189051,-0.096711,-0.471525
v,-0.145477,-0.143925,-0.453526
v,-0.147981,-0.137935,-0.453794
v,-0.144366,-0.140446,-0.454678
v,-0.136245,-0.16132,-0.454194
v,-0.134953,-0.158319,-0.451342
v,-0.135239,-0.162018,-0.451377
v,-0.132259,-0.185109,-0.453898
v,-0.133486,-0.181901,-0.453213
v,-0.132697,-0.18132,-0.457754
v,-0.181077,-0.137067,-0.450443
v,-0.18155,-0.133852,-0.451084
v,-0.181146,-0.135567,-0.447759
v,-0.171741,-0.171118,-0.435859
v,-0.170978,-0.166348,-0.432754
v,-0.171893,-0.165817,-0.437254
v,-0.148289,-0.130244,-0.45289
v,-0.150224,-0.132097,-0.452697
v,-0.149821,-0.126555,-0.451913
v,-0.158493,-0.098619,-0.445605
v,-0.155831,-0.100392,-0.441837
v,-0.155347,-0.099644,-0.446297
v,-0.182962,-0.126216,-0.454592
v,-0.180144,-0.128791,-0.451978
v,-0.184252,-0.129332,-0.455428
v,-0.164551,-0.169462,-0.449366
v,-0.163721,-0.168398,-0.447308
v,-0.160877,-0.171806,-0.447545
v,-0.163766,-0.201188,-0.426509
v,-0.162611,-0.202159,-0.428779
v,-0.159816,-0.205696,-0.424991
v,-0.184683,-0.195049,-0.420358
v,-0.183089,-0.193511,-0.422099
v,-0.183267,-0.197462,-0.419998
v,-0.156892,-0.176262,-0.44596
v,-0.163997,-0.173839,-0.450042
v,-0.140229,-0.147701,-0.414365
v,-0.140434,-0.143938,-0.412808
v,-0.137526,-0.145642,-0.412654
v,-0.149505,-0.196164,-0.453882
v,-0.151158,-0.192872,-0.454752
v,-0.152353,-0.194242,-0.456928
v,-0.149703,-0.139836,-0.452487
v,-0.148092,-0.143706,-0.452671
v,-0.14885,-0.142464,-0.451208
v,-0.148995,-0.100794,-0.435882
v,-0.146047,-0.100249,-0.434567
v,-0.147428,-0.10243,-0.432296
v,-0.159151,-0.10486,-0.448825
v,-0.154814,-0.103066,-0.447408
v,-0.155151,-0.106217,-0.449159
v,-0.138158,-0.129489,-0.420591
v,-0.135044,-0.131323,-0.419835
v,-0.13824,-0.132724,-0.417371
