verticies,x,y,z
v, 0.469243, 2.380772, -0.349180
v, 0.273786, 2.409587, -0.366659
v, 0.617031, 2.679340, -0.827097
v, 0.549616, 2.758202, -0.917069
v, 0.581414, 2.735662, -0.828940
v, 0.390777, 2.451255, -1.512138
v, 0.294943, 2.345297, -1.446838
v, 0.417760, 2.395235, -1.635930
v, 0.570762, 2.065362, -2.341786
v, 0.571934, 2.028042, -2.273173
v, 0.629209, 2.028854, -2.348563
v, 0.597695, 1.964908, -2.311621
v, 0.553996, 1.970716, -2.190668
v, 0.658040, 1.950515, -2.367220
v, 0.680772, 2.746987, -0.788863
v, 0.742196, 2.727144, -0.814080
v, 0.326105, 2.535760, -1.309149
v, 0.295707, 2.424697, -1.156697
v, 0.305958, 2.433269, -1.269359
v, 0.294744, 2.457887, -1.350918
v, 0.437572, 2.459222, -1.600010
v, 0.438287, 2.413990, -1.719631
v, 0.394828, 2.464988, -1.617978
v, 0.358318, 2.427352, -1.657208
v, 0.287640, 2.521834, -1.189991
v, 0.033537, 2.373534, -0.778267
v, 0.173729, 2.472487, -0.926252
v, 0.103669, 2.275847, -0.804687
v, 0.168776, 2.517747, -1.198137
v, 0.228632, 2.542598, -1.146210
v, 0.245854, 2.527421, -1.277407
v, 0.310190, 2.532361, -1.428470
v, 0.235138, 2.307593, -1.330345
v, 0.208236, 2.315436, -1.259592
v, 0.182166, 2.296254, -1.343838
v, 0.320535, 2.392097, -1.340522
v, 0.273929, 2.370080, -1.241206
v, 0.275535, 2.321491, -1.377990
v, 0.311635, 2.422316, -1.414300
v, 0.220878, 2.403711, -1.067797
v, 0.181442, 2.338389, -1.058551
v, 0.377136, 2.215409, -1.853619
v, 0.336451, 2.200933, -1.772012
v, 0.373530, 2.256595, -1.829781
v, 0.223820, 2.231564, -1.528416
v, 0.293455, 2.234922, -1.665935
v, 0.311884, 2.181378, -1.684964
v, -0.021620, 2.340646, -1.746055
v, -0.043067, 2.385396, -1.671526
v, -0.051278, 2.331454, -1.647021
v, 0.440100, 1.981050, -2.355646
